Country Name,Series Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
United States,GDP per capita (current US$),2881.099798,2934.552778,3107.937417,3232.208009,3423.396282,3664.80187,3972.12309,4152.019837,4491.424305,4802.642485,5246.961746,5623.588445,6109.692419,6741.101133,7242.324202,7819.958976,8611.461463,9471.528658,10587.41604,11695.36336,12597.64551,13992.9227,14439.01513,15561.26814,17134.3157,18269.27927,19114.82387,20100.78873,21483.11445,22922.46545,23954.52342,24404.99484,25492.95555,26464.78326,27776.4265,28781.94969,30068.22721,31572.63522,32948.95126,34639.11984,36467.29543,37285.81592,38175.37638,39682.47225,41928.88614,44313.58524,46443.8102,48070.38469,48407.07691,46998.82042,48357.67357,49854.52267,51755.21484,53142.88963,
United States,GDP per capita growth (annual %),,0.618121193,4.480669354,2.908271948,4.340548963,5.07809761,5.277113858,1.389951286,3.758819368,2.097369706,2.011421857,1.994125678,4.128624426,4.639107872,-1.421575714,-1.177701918,4.390451003,3.562179562,4.448397717,2.043154855,-1.197276837,1.592945818,-2.841228539,3.680349904,6.334321623,3.319653926,2.559658192,2.54084597,3.261760553,2.706306923,0.773805002,-1.399070947,2.128967677,1.399054569,2.768459358,1.502720787,2.595285987,3.236971988,3.239309667,3.649418593,2.938792671,-0.045550618,0.836287505,1.911241228,2.841838043,2.40301614,1.681345591,0.826427921,-1.229057379,-3.650781352,1.660678865,1.109657749,2.028723815,1.149698897,
